metric	stage_order	score	CVB3	IVIG	delta_CVB3_minus_IVIG
q99	7	Kyn_AHR_axis_score_expr	2.6218240894459446	2.3372586028075917	0.2845654866383529
q99	7	Kyn_AHR_myeloid_score_expr	2.1790304099367135	2.0781637473178654	0.10086666261884814
q99	7	Kyn_AHR_myeloid_score_z	0.7220471942424763	0.7641598904132806	-0.042112696170804265
q99	7	myeloid_inflammation_score_expr	1.0500131583213796	0.941793205738066	0.10821995258331363
top5_mean	1	AHR_regulon_proxy_score_expr	0.49463077173796444	0.4264326726881969	0.06819809904976754
top5_mean	1	AHR_response_score_expr	0.3521131412268372	0.34386660037703165	0.008246540849805528
top5_mean	1	KYN_metabolism_score_expr	0.0032862753401356297	0.004507401912483779	-0.0012211265723481492
top5_mean	1	Kyn_AHR_axis_score_expr	2.0610038894534357	2.031545406214267	0.029458483239168665
top5_mean	1	Kyn_AHR_myeloid_score_expr	1.76229613395918	1.7500166820633256	0.012279451895854443
top5_mean	1	Kyn_AHR_myeloid_score_z	0.647127508412864	0.6363814205669144	0.010746087845949659
top5_mean	1	myeloid_inflammation_score_expr	0.621798981747641	0.488276609856292	0.13352237189134902
top5_mean	2	AHR_regulon_proxy_score_expr	0.3725564018648895	0.38777861821851106	-0.015222216353621587
top5_mean	2	AHR_response_score_expr	0.3218508863058899	0.32698075647195696	-0.00512987016606703
top5_mean	2	KYN_metabolism_score_expr	0.0019986090069529882	0.004741348976183888	-0.0027427399692309
top5_mean	2	Kyn_AHR_axis_score_expr	2.1702806140397395	2.010279140684852	0.16000147335488757
top5_mean	2	Kyn_AHR_myeloid_score_expr	1.8660706784850758	1.7386115034093677	0.12745917507570814
top5_mean	2	Kyn_AHR_myeloid_score_z	0.6295058485618569	0.6207534450411732	0.008752403520683627
top5_mean	2	myeloid_inflammation_score_expr	0.5396099202061145	0.46992609761393694	0.06968382259217759
top5_mean	3	AHR_regulon_proxy_score_expr	0.49797784529014577	0.3979429277368247	0.10003491755332106
top5_mean	3	AHR_response_score_expr	0.483627080955299	0.3212124167063747	0.1624146642489243
top5_mean	3	KYN_metabolism_score_expr	0.0030671398750422626	0.003526035849241527	-0.0004588959741992646
top5_mean	3	Kyn_AHR_axis_score_expr	2.006363623570964	2.0500585782639384	-0.04369495469297435
top5_mean	3	Kyn_AHR_myeloid_score_expr	1.707858110464813	1.7525179781043276	-0.04465986763951468
top5_mean	3	Kyn_AHR_myeloid_score_z	0.5971593567324929	0.6183520208342007	-0.021192664101707837
top5_mean	3	myeloid_inflammation_score_expr	0.6953718170931504	0.4758944631765445	0.21947735391660594
top5_mean	4	AHR_regulon_proxy_score_expr	0.44972936441193606	0.40347332636688443	0.04625603804505163
top5_mean	4	AHR_response_score_expr	0.4407042669034318	0.3763166965352684	0.0643875703681634
top5_mean	4	KYN_metabolism_score_expr	0.0032871772344022173	0.0030513217705725516	0.00023585546382966574
top5_mean	4	Kyn_AHR_axis_score_expr	2.048730041845741	2.1329741784155956	-0.08424413656985452
top5_mean	4	Kyn_AHR_myeloid_score_expr	1.7571306382497087	1.8236448905284945	-0.06651425227878582
top5_mean	4	Kyn_AHR_myeloid_score_z	0.6068855998467426	0.6312184233594478	-0.02433282351270516
top5_mean	4	myeloid_inflammation_score_expr	0.6158492955783231	0.5896593791770173	0.026189916401305857
top5_mean	5	AHR_regulon_proxy_score_expr	0.4195401242047937	0.417694254841708	0.0018458693630856726
top5_mean	5	AHR_response_score_expr	0.4501345400148708	0.35023388595467037	0.09990065406020043
top5_mean	5	KYN_metabolism_score_expr	0.0019018100467863314	0.003825137216008317	-0.0019233271692219854
top5_mean	5	Kyn_AHR_axis_score_expr	2.129214076449812	2.070437924353562	0.058776152096249756
top5_mean	5	Kyn_AHR_myeloid_score_expr	1.8312622050637548	1.7488888692900093	0.0823733357737455
top5_mean	5	Kyn_AHR_myeloid_score_z	0.598706066885918	0.6448486162649935	-0.04614254937907547
top5_mean	5	myeloid_inflammation_score_expr	0.5444938648124424	0.7124592333155519	-0.1679653685031095
top5_mean	6	AHR_regulon_proxy_score_expr	0.5501286566791906	0.48320731731685435	0.0669213393623363
top5_mean	6	AHR_response_score_expr	0.4617369726520299	0.3457477163463025	0.11598925630572737
top5_mean	6	KYN_metabolism_score_expr	0.004793835719104657	0.005698320269927091	-0.0009044845508224342
top5_mean	6	Kyn_AHR_axis_score_expr	1.8830505853826633	2.0054128047953674	-0.12236221941270409
top5_mean	6	Kyn_AHR_myeloid_score_expr	1.6197162635904567	1.7740634469246386	-0.15434718333418185
top5_mean	6	Kyn_AHR_myeloid_score_z	0.5943135099351909	0.6318852230503752	-0.03757171311518426
top5_mean	6	myeloid_inflammation_score_expr	1.24506199623965	0.752410320849032	0.49265167539061805
top5_mean	7	AHR_regulon_proxy_score_expr	0.5350026349801766	0.490914271817657	0.04408836316251963
top5_mean	7	AHR_response_score_expr	0.4462958691403591	0.347702296761175	0.09859357237918415
