sample_id	group	stage	stage_order	score	threshold_level	threshold	n_bins	n_hotspot_bins	hotspot_fraction	hotspot_mean_score
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_myeloid_score_expr	control_q95	1.29531375666958	21462	983	0.045801882396794336	1.8832872502010969
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_myeloid_score_expr	control_q99	2.215933295130221	21462	188	0.00875966825086199	2.9222131450528117
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_myeloid_score_z	control_q90	0.19353895187377934	21462	2643	0.12314788929270339	0.39869739310875835
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_myeloid_score_z	control_q95	0.34967803061008423	21462	1106	0.051532941943900845	0.5916185512141767
CVB3d5	CVB3_myocarditis	day5	5	Kyn_AHR_myeloid_score_z	control_q99	0.8090997970104206	21462	128	0.005964029447395397	1.3897907612845302
CVB3d6	CVB3_myocarditis	day6	6	KYN_metabolism_score_expr	control_q90	0.0	37907	1183	0.031207956314137232	0.15360940879467475
CVB3d6	CVB3_myocarditis	day6	6	KYN_metabolism_score_expr	control_q95	0.0	37907	1183	0.031207956314137232	0.15360940879467475
CVB3d6	CVB3_myocarditis	day6	6	KYN_metabolism_score_expr	control_q99	0.0	37907	1183	0.031207956314137232	0.15360940879467475
CVB3d6	CVB3_myocarditis	day6	6	AHR_response_score_expr	control_q90	0.2275528907775879	37907	7057	0.1861661434563537	0.33540725068210187
CVB3d6	CVB3_myocarditis	day6	6	AHR_response_score_expr	control_q95	0.2783159330487248	37907	4708	0.12419869681061545	0.37715063256764675
CVB3d6	CVB3_myocarditis	day6	6	AHR_response_score_expr	control_q99	0.4071645021438584	37907	1352	0.035666235787585404	0.4901195188774865
CVB3d6	CVB3_myocarditis	day6	6	AHR_regulon_proxy_score_expr	control_q90	0.23245754837989807	37907	15034	0.3966022106734904	0.35311368081827216
CVB3d6	CVB3_myocarditis	day6	6	AHR_regulon_proxy_score_expr	control_q95	0.30866452008485784	37907	8814	0.2325164217690664	0.4127145555586346
CVB3d6	CVB3_myocarditis	day6	6	AHR_regulon_proxy_score_expr	control_q99	0.4457379820942871	37907	2534	0.06684781174980874	0.5267749805570872
CVB3d6	CVB3_myocarditis	day6	6	myeloid_inflammation_score_expr	control_q90	0.25316372513771057	37907	29737	0.7844725248634816	0.587189259290631
CVB3d6	CVB3_myocarditis	day6	6	myeloid_inflammation_score_expr	control_q95	0.3147238790988922	37907	26687	0.7040124515261034	0.6216705597069683
CVB3d6	CVB3_myocarditis	day6	6	myeloid_inflammation_score_expr	control_q99	0.4943439552187893	37907	16812	0.44350647637639484	0.7495803967377075
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_axis_score_expr	control_q90	0.9517981377246238	37907	3489	0.09204104782757802	1.5277495158644936
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_axis_score_expr	control_q95	1.3959670116263057	37907	1560	0.04115334898567547	2.0000018202481966
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_axis_score_expr	control_q99	2.6721515122805193	37907	201	0.005302450734692801	3.263263021570327
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_myeloid_score_expr	control_q90	0.8336501514140824	37907	3860	0.10182815838763289	1.2931713132146547
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_myeloid_score_expr	control_q95	1.29531375666958	37907	1392	0.036721449864141185	1.762656424057417
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_myeloid_score_expr	control_q99	2.215933295130221	37907	204	0.005381591790434484	2.650295572603832
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_myeloid_score_z	control_q90	0.19353895187377934	37907	5660	0.14931279183264304	0.3785656367063312
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_myeloid_score_z	control_q95	0.34967803061008423	37907	2249	0.0593294114543488	0.5582833837116491
CVB3d6	CVB3_myocarditis	day6	6	Kyn_AHR_myeloid_score_z	control_q99	0.8090997970104206	37907	229	0.0060411005882818475	1.175613543091903
CVB3d7	CVB3_myocarditis	day7	7	KYN_metabolism_score_expr	control_q90	0.0	37984	433	0.011399536647009267	0.2641350761847463
CVB3d7	CVB3_myocarditis	day7	7	KYN_metabolism_score_expr	control_q95	0.0	37984	433	0.011399536647009267	0.2641350761847463
CVB3d7	CVB3_myocarditis	day7	7	KYN_metabolism_score_expr	control_q99	0.0	37984	433	0.011399536647009267	0.2641350761847463
CVB3d7	CVB3_myocarditis	day7	7	AHR_response_score_expr	control_q90	0.2275528907775879	37984	5907	0.15551284751474306	0.3328644229597058
CVB3d7	CVB3_myocarditis	day7	7	AHR_response_score_expr	control_q95	0.2783159330487248	37984	3796	0.0999368155012637	0.3767277489959
CVB3d7	CVB3_myocarditis	day7	7	AHR_response_score_expr	control_q99	0.4071645021438584	37984	973	0.025616048862679024	0.5177510546755815
CVB3d7	CVB3_myocarditis	day7	7	AHR_regulon_proxy_score_expr	control_q90	0.23245754837989807	37984	8099	0.21322135636057288	0.36440397105933503
CVB3d7	CVB3_myocarditis	day7	7	AHR_regulon_proxy_score_expr	control_q95	0.30866452008485784	37984	4842	0.12747472620050548	0.43197958792403235
CVB3d7	CVB3_myocarditis	day7	7	AHR_regulon_proxy_score_expr	control_q99	0.4457379820942871	37984	1663	0.04378159224936815	0.5487785830565124
CVB3d7	CVB3_myocarditis	day7	7	myeloid_inflammation_score_expr	control_q90	0.25316372513771057	37984	16339	0.430154802021904	0.4866484962866614
CVB3d7	CVB3_myocarditis	day7	7	myeloid_inflammation_score_expr	control_q95	0.3147238790988922	37984	12032	0.3167649536647009	0.5602076157129944
CVB3d7	CVB3_myocarditis	day7	7	myeloid_inflammation_score_expr	control_q99	0.4943439552187893	37984	6494	0.17096672283066555	0.7004231828146433
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_axis_score_expr	control_q90	0.9517981377246238	37984	3800	0.10004212299915755	1.5991803580786386
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_axis_score_expr	control_q95	1.3959670116263057	37984	1710	0.045018955349620894	2.1616111004593055
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_axis_score_expr	control_q99	2.6721515122805193	37984	356	0.009372367312552653	3.4251298595389033
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_myeloid_score_expr	control_q90	0.8336501514140824	37984	4029	0.10607097725358046	1.3869451357489349
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_myeloid_score_expr	control_q95	1.29531375666958	37984	1703	0.04483466722830665	1.873170258826339
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_myeloid_score_expr	control_q99	2.215933295130221	37984	357	0.009398694187026116	2.7568998881708495
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_myeloid_score_z	control_q90	0.19353895187377934	37984	5034	0.1325294860994103	0.4039702610833142
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_myeloid_score_z	control_q95	0.34967803061008423	37984	2235	0.05884056444818871	0.5823177916224904
CVB3d7	CVB3_myocarditis	day7	7	Kyn_AHR_myeloid_score_z	control_q99	0.8090997970104206	37984	262	0.0068976411120471775	1.2231728382237994
Control	control	control	0	KYN_metabolism_score_expr	control_q90	0.0	36392	310	0.008518355682567598	0.25982722880378845
Control	control	control	0	KYN_metabolism_score_expr	control_q95	0.0	36392	310	0.008518355682567598	0.25982722880378845
Control	control	control	0	KYN_metabolism_score_expr	control_q99	0.0	36392	310	0.008518355682567598	0.25982722880378845
Control	control	control	0	AHR_response_score_expr	control_q90	0.2275528907775879	36392	3638	0.09996702571993844	0.30716971919112573
Control	control	control	0	AHR_response_score_expr	control_q95	0.2783159330487248	36392	1820	0.05001099142668718	0.3645644540642644
Control	control	control	0	AHR_response_score_expr	control_q99	0.4071645021438584	36392	364	0.010002198285337436	0.5106578627294236
Control	control	control	0	AHR_regulon_proxy_score_expr	control_q90	0.23245754837989807	36392	3635	0.09988459001978457	0.3311652019681432
Control	control	control	0	AHR_regulon_proxy_score_expr	control_q95	0.30866452008485784	36392	1820	0.05001099142668718	0.3983677274905718
Control	control	control	0	AHR_regulon_proxy_score_expr	control_q99	0.4457379820942871	36392	364	0.010002198285337436	0.5231580654015908
Control	control	control	0	myeloid_inflammation_score_expr	control_q90	0.25316372513771057	36392	3638	0.09996702571993844	0.3506533861111127
Control	control	control	0	myeloid_inflammation_score_expr	control_q95	0.3147238790988922	36392	1819	0.04998351285996922	0.42048388676960563
Control	control	control	0	myeloid_inflammation_score_expr	control_q99	0.4943439552187893	36392	364	0.010002198285337436	0.58399414230179
Control	control	control	0	Kyn_AHR_axis_score_expr	control_q90	0.9517981377246238	36392	3635	0.09988459001978457	1.6512054952526716
Control	control	control	0	Kyn_AHR_axis_score_expr	control_q95	1.3959670116263057	36392	1820	0.05001099142668718	2.1504456264670693
Control	control	control	0	Kyn_AHR_axis_score_expr	control_q99	2.6721515122805193	36392	364	0.010002198285337436	3.5669047054235534
Control	control	control	0	Kyn_AHR_myeloid_score_expr	control_q90	0.8336501514140824	36392	3638	0.09996702571993844	1.4619309620207022
Control	control	control	0	Kyn_AHR_myeloid_score_expr	control_q95	1.29531375666958	36392	1820	0.05001099142668718	1.8869305734516182
Control	control	control	0	Kyn_AHR_myeloid_score_expr	control_q99	2.215933295130221	36392	364	0.010002198285337436	2.858586454220234
Control	control	control	0	Kyn_AHR_myeloid_score_z	control_q90	0.19353895187377934	36392	3640	0.10002198285337437	0.45365768189613637
Control	control	control	0	Kyn_AHR_myeloid_score_z	control_q95	0.34967803061008423	36392	1820	0.05001099142668718	0.6476633319487939
Control	control	control	0	Kyn_AHR_myeloid_score_z	control_q99	0.8090997970104206	36392	364	0.010002198285337436	1.2361351739574264
IVIGd1	IVIG_treated	day1	1	KYN_metabolism_score_expr	control_q90	0.0	29068	646	0.022223751204073206	0.20281913125708745
IVIGd1	IVIG_treated	day1	1	KYN_metabolism_score_expr	control_q95	0.0	29068	646	0.022223751204073206	0.20281913125708745
IVIGd1	IVIG_treated	day1	1	KYN_metabolism_score_expr	control_q99	0.0	29068	646	0.022223751204073206	0.20281913125708745
IVIGd1	IVIG_treated	day1	1	AHR_response_score_expr	control_q90	0.2275528907775879	29068	2067	0.07110912343470482	0.31389047433975875
IVIGd1	IVIG_treated	day1	1	AHR_response_score_expr	control_q95	0.2783159330487248	29068	1170	0.04025044722719141	0.3619334990906919
IVIGd1	IVIG_treated	day1	1	AHR_response_score_expr	control_q99	0.4071645021438584	29068	264	0.009082152194853447	0.48696362565864215
IVIGd1	IVIG_treated	day1	1	AHR_regulon_proxy_score_expr	control_q90	0.23245754837989807	29068	4723	0.16248107884959406	0.326676676687537
IVIGd1	IVIG_treated	day1	1	AHR_regulon_proxy_score_expr	control_q95	0.30866452008485784	29068	2261	0.07778312921425623	0.39107105552438404
IVIGd1	IVIG_treated	day1	1	AHR_regulon_proxy_score_expr	control_q99	0.4457379820942871	29068	435	0.014964909866519884	0.5157772149847841
IVIGd1	IVIG_treated	day1	1	myeloid_inflammation_score_expr	control_q90	0.25316372513771057	29068	4730	0.16272189349112426	0.36498534777073727
IVIGd1	IVIG_treated	day1	1	myeloid_inflammation_score_expr	control_q95	0.3147238790988922	29068	2850	0.09804596119444062	0.4203711098850819
IVIGd1	IVIG_treated	day1	1	myeloid_inflammation_score_expr	control_q99	0.4943439552187893	29068	522	0.01795789183982386	0.5816767165487297
IVIGd1	IVIG_treated	day1	1	Kyn_AHR_axis_score_expr	control_q90	0.9517981377246238	29068	2911	0.10014448878491812	1.5887052716321344
IVIGd1	IVIG_treated	day1	1	Kyn_AHR_axis_score_expr	control_q95	1.3959670116263057	29068	1448	0.04981422870510527	2.0341886126386077
IVIGd1	IVIG_treated	day1	1	Kyn_AHR_axis_score_expr	control_q99	2.6721515122805193	29068	209	0.007190037154258979	3.2433577737397976
IVIGd1	IVIG_treated	day1	1	Kyn_AHR_myeloid_score_expr	control_q90	0.8336501514140824	29068	3256	0.11201321040319251	1.3445852382538277
IVIGd1	IVIG_treated	day1	1	Kyn_AHR_myeloid_score_expr	control_q95	1.29531375666958	29068	1346	0.04630521535709371	1.7883440696534159
IVIGd1	IVIG_treated	day1	1	Kyn_AHR_myeloid_score_expr	control_q99	2.215933295130221	29068	209	0.007190037154258979	2.6893153253143955
